country,Number of Ranked Universities
United States,157
United Kingdom,76
Germany,45
Japan,44
China,40
Australia,37
France,35
Italy,30
South Korea,30
Russia,27
Canada,26
Spain,25
India,24
Brazil,22
Taiwan,17
Argentina,15
Mexico,14
Poland,14
Malaysia,13
Netherlands,13
Colombia,11
Chile,11
Finland,10
Turkey,10
Kazakhstan,10
Indonesia,9
South Africa,9
Switzerland,9
Sweden,8
Ireland,8
Saudi Arabia,8
United Arab Emirates,8
Belgium,8
Thailand,8
New Zealand,8
Austria,8
Portugal,7
Hong Kong,7
Pakistan,7
Ukraine,6
Israel,6
Greece,6
Egypt,6
Iran,6
Hungary,6
Lebanon,6
Venezuela,5
Czech Republic,5
Denmark,5
Romania,5
Philippines,4
Iraq,4
Norway,4
Lithuania,4
Costa Rica,4
Jordan,3
Singapore,3
Latvia,3
Slovakia,3
Estonia,3
Peru,3
Ecuador,3
Bangladesh,2
Brunei,2
Belarus,2
Uruguay,2
Slovenia,2
Vietnam,2
Sri Lanka,1
Cuba,1
Macau,1
Kenya,1
Kuwait,1
Bosnia and Herzegovina,1
Qatar,1
Serbia,1
Bahrain,1
Oman,1
Azerbaijan,1
Puerto Rico,1
Panama,1
Bulgaria,1
Croatia,1
Morocco,1
Palestinian Territory,1
